2025-07-05 12:52:14,350 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.mepowerleo10.ulauncher-dict-en" connected
2025-07-05 12:52:14,350 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.mepowerleo10.ulauncher-dict-en"
2025-07-05 12:52:14,363 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.ulauncher.ulauncher-hash" connected
2025-07-05 12:52:14,363 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.ulauncher.ulauncher-hash"
2025-07-05 12:52:14,376 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.iboyperson.ulauncher-system" connected
2025-07-05 12:52:14,376 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.iboyperson.ulauncher-system"
2025-07-05 12:52:14,399 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.atorresg.appimagelauncher" connected
2025-07-05 12:52:14,400 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.atorresg.appimagelauncher"
2025-07-05 12:52:14,403 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.kazumasan.ulauncher-sessions" connected
2025-07-05 12:52:14,404 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.kazumasan.ulauncher-sessions"
2025-07-05 12:52:14,406 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.luispabon.ulauncher-virtualbox" connected
2025-07-05 12:52:14,406 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.luispabon.ulauncher-virtualbox"
2025-07-05 12:52:14,423 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.nastuzzisamy.ulauncher-youtube-search" connected
2025-07-05 12:52:14,424 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.nastuzzisamy.ulauncher-youtube-search"
2025-07-05 12:52:14,425 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.manahter.ulauncher-ip-analysis" connected
2025-07-05 12:52:14,426 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.manahter.ulauncher-ip-analysis"
2025-07-05 12:52:14,445 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.dhelmr.ulauncher-tldr" connected
2025-07-05 12:52:14,445 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.dhelmr.ulauncher-tldr"
2025-07-05 12:52:14,470 | INFO | ulauncher.api.server.ExtensionController: handleConnected() | Extension "com.github.glovecc.ulauncher-github-search" connected
2025-07-05 12:52:14,501 | DEBUG | ulauncher.api.server.ExtensionController: _send_event() | Send event PreferencesEvent to "com.github.glovecc.ulauncher-github-search"
2025-07-05 12:53:28,122 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2025-07-05 12:53:28,122 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2025-07-05 12:53:28,124 | WARNING | ulauncher.utils.Theme: get_current() | No theme with name Eigen Dark
2025-07-05 12:53:28,125 | WARNING | ulauncher.utils.Theme: get_current() | No theme with name Eigen Dark
2025-07-05 12:53:28,126 | WARNING | ulauncher.utils.Theme: get_current() | No theme with name Eigen Dark
2025-07-05 12:53:28,126 | WARNING | ulauncher.utils.Theme: get_current() | No theme with name Eigen Dark
2025-07-05 12:53:28,127 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2025-07-05 12:53:29,823 | DEBUG | ulauncher.ui.windows.UlauncherWindow: activate_preferences() | create new preferences_dialog
2025-07-05 12:53:29,836 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_hotkey_set'
2025-07-05 12:53:29,836 | DEBUG | ulauncher.ui.windows.Builder: log_unconnected_functions() | Not connected to builder 'on_scheme_callback'
2025-07-05 12:53:30,044 | DEBUG | ulauncher.ui.windows.Builder: __init__() | consider using a pythonic name instead of design name 'hotkey-dialog-vbox1'
2025-07-05 12:53:30,044 | DEBUG | ulauncher.ui.windows.Builder: __init__() | consider using a pythonic name instead of design name 'new-hotkey-label'
2025-07-05 12:53:30,046 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'hotkey_dialog','delete_event', 'on_delete_event'
2025-07-05 12:53:30,047 | DEBUG | ulauncher.ui.windows.Builder: do_connect() | connect builder by name 'hotkey_input','key_press_event', 'on_hotkey_input_key_press_event'
2025-07-05 12:53:30,371 | INFO | ulauncher.ui.windows.PreferencesUlauncherDialog: prefs_get_all() | API call /get/all
2025-07-05 12:53:30,372 | WARNING | ulauncher.utils.Theme: get_current() | No theme with name Eigen Dark
2025-07-05 12:53:34,369 | INFO | ulauncher.ui.windows.PreferencesUlauncherDialog: prefs_set_theme_name() | Set theme-name to liquid-glass-dark
2025-07-05 12:53:35,748 | INFO | ulauncher.ui.windows.PreferencesUlauncherDialog: prefs_close() | Close preferences
2025-07-05 12:53:36,839 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2025-07-05 12:53:36,839 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2025-07-05 12:53:36,846 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2025-07-05 12:53:44,935 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2025-07-05 12:53:44,935 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2025-07-05 12:53:44,944 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2025-07-05 12:53:45,854 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 9 results
2025-07-05 12:53:46,044 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2025-07-05 12:53:46,118 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 5 results
2025-07-05 12:53:47,235 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Extension Manager (/usr/share/applications/com.mattjakeman.ExtensionManager.desktop) Exec ['extension-manager']
2025-07-05 12:53:47,250 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2025-07-05 12:53:52,200 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2025-07-05 12:53:52,200 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2025-07-05 12:53:52,207 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2025-07-05 12:54:53,560 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2025-07-05 12:54:53,560 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2025-07-05 12:54:53,564 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2025-07-05 12:55:14,944 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2025-07-05 12:55:14,944 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2025-07-05 12:55:14,949 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2025-07-05 12:55:16,542 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Extension Manager (/usr/share/applications/com.mattjakeman.ExtensionManager.desktop) Exec ['extension-manager']
2025-07-05 12:55:57,113 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2025-07-05 12:55:57,113 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2025-07-05 12:55:57,120 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2025-07-05 12:56:51,301 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2025-07-05 12:56:51,302 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2025-07-05 12:56:51,307 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 3 results
2025-07-05 12:56:52,102 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 9 results
2025-07-05 12:56:52,218 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 9 results
2025-07-05 12:56:52,321 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 8 results
2025-07-05 12:56:52,409 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 8 results
2025-07-05 12:56:56,240 | INFO | ulauncher.api.shared.action.LaunchAppAction: run() | Run application Firefox ESR (/usr/share/applications/firefox-esr.desktop) Exec ['/usr/lib/firefox-esr/firefox-esr']
2025-07-05 12:56:56,257 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2025-07-05 12:57:00,226 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2025-07-05 12:57:00,226 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2025-07-05 12:57:00,229 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
2025-07-05 12:57:02,066 | DEBUG | ulauncher.ui.windows.UlauncherWindow: activate_preferences() | show existing preferences_dialog
2025-07-05 12:57:03,141 | INFO | ulauncher.ui.windows.PreferencesUlauncherDialog: prefs_get_all() | API call /get/all
2025-07-05 12:57:07,144 | INFO | ulauncher.ui.windows.PreferencesUlauncherDialog: prefs_set_theme_name() | Set theme-name to dark
2025-07-05 12:57:08,927 | INFO | ulauncher.ui.windows.PreferencesUlauncherDialog: prefs_close() | Close preferences
2025-07-05 12:57:10,057 | DEBUG | ulauncher.utils.display: get_screens() | Found 1 monitor(s)
2025-07-05 12:57:10,057 | DEBUG | ulauncher.utils.display: get_screens() |   Monitor 0 - X: 0, Y: 0, W: 1920, H: 1080
2025-07-05 12:57:10,064 | DEBUG | ulauncher.ui.windows.UlauncherWindow: show_results() | render 4 results
